bookId=18dd676c7970568ce29d7dbb7f0d399e8f649e966f010c286f470a0cc9bea62d
title=The End of the Affair
metric=tf_idf
limit=1000
columns=rank lemma tf_idf_score total_count global_frequency_zipf

344	headmistress	1.823696	2	2.680000
345	touche	1.823696	2	2.680000
346	conventional	1.819511	7	4.250000
347	hers	1.818636	5	3.970000
348	hysteria	1.816046	3	3.380000
349	resent	1.816046	3	3.380000
350	chair	1.816046	15	4.690000
351	richard	1.812418	19	4.790000
352	memory	1.811491	20	4.810000
353	tray	1.810618	4	3.750000
354	hurry	1.809696	6	4.140000
355	sensible	1.809677	5	3.980000
356	od	1.809114	3	3.390000
357	ministry	1.807754	13	4.630000
358	queer	1.802570	4	3.760000
359	resurrection	1.802570	4	3.760000
360	crudely	1.801724	2	2.720000
361	training	1.801724	2	2.720000
362	fanaticism	1.796231	2	2.730000
363	glandular	1.796231	2	2.730000
364	pretence	1.796231	2	2.730000
365	hall	1.795600	23	4.870000
366	adultery	1.795251	3	3.410000
367	argument	1.794559	13	4.640000
368	arrange	1.791759	5	4.000000
369	hideous	1.791759	5	
370	interesting	1.791759	5	
371	m.	1.791759	5	
372	strangers	1.791759	5	
373	surprised	1.791759	5	
374	telephine	1.791759	5	
375	waiting	1.791759	5	
376	wastepaper	1.791759	5	
377	‘i	1.791759	5	
378	’ve	1.791759	5	
379	importance	1.789133	11	4.560000
380	chop	1.786476	4	3.780000
381	disbelief	1.781388	3	3.430000
382	till	1.781386	18	4.790000
383	cinema	1.780508	6	4.170000
384	beastly	1.779752	2	2.760000
385	becket	1.779752	2	2.760000
386	dusk	1.774457	3	3.440000
387	possess	1.773842	5	4.020000
388	refuse	1.768766	8	4.390000
389	silly	1.768766	8	4.390000
390	bunk	1.767525	3	3.450000
391	hurt	1.766068	27	4.940000
392	bia	1.763273	2	2.790000
393	leper	1.763273	2	2.790000
394	spoil	1.762335	4	3.810000
395	nerve	1.761049	6	4.190000
396	arm	1.760594	15	4.730000
397	imagine	1.759372	25	4.920000
398	creak	1.757780	2	2.800000
399	boy	1.757154	68	5.170000
400	inadequate	1.754287	4	3.820000
401	reviewer	1.753662	3	3.470000
402	realize	1.752503	19	4.830000
403	reasonable	1.751859	11	4.590000
404	disturb	1.746965	5	4.050000
405	lamp	1.746965	5	4.050000
406	proceed	1.746965	5	4.050000
407	indelible	1.746794	2	2.820000
408	badger	1.746731	3	3.480000
409	convey	1.746240	4	3.830000
410	except	1.742121	34	5.020000
411	jones	1.741300	2	2.830000
412	sleep	1.740192	38	5.050000
413	cheque	1.739799	3	3.490000
414	assure	1.738007	5	4.060000
415	unhappy	1.738007	5	4.060000
416	worry	1.737525	19	4.840000
417	forget	1.733773	39	5.060000
418	pension	1.731860	6	4.220000
419	surly	1.730314	2	2.850000
420	basket	1.729048	5	4.070000
421	bed	1.726811	40	5.070000
422	object	1.726485	10	4.560000
423	whom	1.722546	19	4.850000
424	fairy	1.720089	5	4.080000
425	lain	1.719328	2	2.870000
426	snow	1.718516	12	4.660000
427	stretch	1.715539	7	4.350000
428	bottle	1.714495	10	4.570000
429	vague	1.714051	4	3.870000
430	indeterminate	1.713835	2	2.880000
431	passion	1.713835	8	4.440000
432	calmness	1.708342	2	2.890000
433	candle	1.706004	4	3.880000
434	coat	1.705142	7	4.360000
435	arouse	1.702849	2	2.900000
436	notice	1.700073	21	4.900000
437	telegram	1.698211	3	3.550000
438	fist	1.697957	4	3.890000
439	foolish	1.697957	4	3.890000
440	hardly	1.692400	9	4.530000
441	awful	1.691863	8	4.460000
442	carefully	1.691863	8	4.460000
443	christen	1.691863	2	2.920000
444	afternoon	1.688997	13	4.720000
445	gulp	1.686370	2	2.930000
446	politeness	1.686370	2	2.930000
447	grass	1.684348	7	4.380000
448	thirty	1.684348	7	4.380000
449	victorian	1.684254	5	4.120000
450	cushion	1.677416	3	3.580000
451	fake	1.677312	11	4.650000
452	twenty	1.677312	11	4.650000
453	disconcert	1.675384	2	2.950000
454	lip	1.675295	5	4.130000
455	revenge	1.673483	6	4.280000
456	impotence	1.669891	2	2.960000
457	pyjama	1.669891	2	2.960000
458	peace	1.666587	29	5.020000
459	blank	1.666336	5	4.140000
460	corrupt	1.666336	5	4.140000
461	husband	1.666102	27	5.000000
462	directory	1.665768	4	3.930000
463	ry	1.664398	2	2.970000
464	choose	1.659265	20	4.910000
465	lancelot	1.658905	2	2.980000
466	lance	1.657721	4	3.940000
467	leap	1.657721	4	3.940000
468	tottenham	1.656622	3	3.610000
469	voice	1.653237	34	5.070000
470	satisfaction	1.648419	5	4.160000
471	shoulder	1.647918	8	4.500000
472	gull	1.647918	2	3.000000
473	doctor	1.647653	19	4.900000
474	occur	1.646348	9	4.570000
475	fear	1.646134	22	4.950000
476	rum	1.642759	3	3.630000
477	stomach	1.642759	7	4.420000
478	pillow	1.641627	4	3.960000
479	bless	1.639460	5	4.170000
480	trouble	1.638370	14	4.790000
481	dread	1.635827	3	3.640000
482	scarlet	1.635827	3	3.640000
483	cure	1.634565	6	4.320000
484	explain	1.634164	18	4.890000
485	wag	1.631439	2	3.030000
486	smile	1.630569	10	4.640000
487	lap	1.630501	5	4.180000
488	sadly	1.630501	5	4.180000
489	hampstead	1.625946	2	3.040000
490	impotent	1.625946	2	3.040000
491	maud	1.625946	2	3.040000
492	knee	1.624835	6	4.330000
493	trivial	1.621964	3	3.660000
494	mood	1.621964	7	4.440000
495	being	1.621542	5	4.190000
496	enemy	1.615189	11	4.700000
497	pound	1.614960	8	4.530000
498	loyal	1.612584	5	4.200000
499	resist	1.612584	5	4.200000
500	herself	1.609825	13	4.780000
501	cross	1.609438	24	5.000000
502	10	1.609438	4	
503	12	1.609438	4	
504	1939	1.609438	4	
505	1945	1.609438	4	
506	banister	1.609438	4	
507	behave	1.609438	4	4.000000
508	borrow	1.609438	4	4.000000
509	bridges	1.609438	4	
510	c.	1.609438	4	
511	cautious	1.609438	4	
512	coloured	1.609438	4	
513	cretonne	1.609438	4	
514	crowded	1.609438	4	
515	fashioned	1.609438	4	
516	gospels	1.609438	4	
517	grating	1.609438	4	
518	habits	1.609438	4	
519	lamps	1.609438	4	
520	nowadays	1.609438	4	
521	papers	1.609438	4	
522	parquet	1.609438	4	
523	ringing	1.609438	4	
524	seconds	1.609438	4	
525	serious	1.609438	4	
526	themselves	1.609438	4	
527	trousers	1.609438	4	
528	leg	1.606590	10	4.660000
529	impression	1.605376	6	4.350000
530	client	1.603974	8	4.540000
531	hesitat	1.603974	2	3.080000
532	huddle	1.603974	2	3.080000
533	momentary	1.603974	2	3.080000
534	scorch	1.603974	2	3.080000
535	bitter	1.603625	5	4.210000
536	shock	1.601170	7	4.460000
537	hundred	1.600297	9	4.610000
538	anxiously	1.598481	2	3.090000
539	gaze	1.594239	3	3.700000
540	deliberately	1.593344	4	4.020000
541	surely	1.592988	8	4.550000
542	ask	1.590693	123	5.340000
543	bookshop	1.587495	2	3.110000
544	gordon	1.585917	6	4.370000
545	robot	1.576748	5	4.240000
546	suggestion	1.576748	5	4.240000
547	dream	1.575253	17	4.910000
548	spot	1.572433	16	4.890000
549	recit	1.571016	2	3.140000
550	shiver	1.571016	2	3.140000
551	tone	1.569978	7	4.490000
552	moment	1.568311	61	5.240000
553	sooner	1.567790	5	4.250000
554	friendship	1.566458	6	4.390000
555	somewhere	1.565491	11	4.740000
556	demon	1.561155	4	4.060000
557	lager	1.560029	2	3.160000
558	gown	1.559581	3	3.750000
559	nurse	1.556728	6	4.400000
560	sake	1.556728	6	4.400000
561	ek	1.554536	2	3.170000
562	hairdresser	1.554536	2	3.170000
563	weakly	1.554536	2	3.170000
564	drain	1.553108	4	4.070000
565	expect	1.552070	22	5.010000
566	hear	1.549760	55	5.230000
567	die	1.549475	27	5.070000
568	emphasis	1.549043	2	3.180000
569	flannel	1.549043	2	3.180000
570	foresee	1.549043	2	3.180000
571	hopelessly	1.549043	2	3.180000
572	common	1.548480	47	5.200000
573	approve	1.545060	4	4.080000
574	grief	1.545060	4	4.080000
575	widow	1.545060	4	4.080000
576	complacent	1.543550	2	3.190000
577	extinguish	1.543550	2	3.190000
578	drawer	1.538787	3	3.780000
579	exclude	1.538787	3	3.780000
580	warning	1.538787	3	3.780000
581	curiously	1.538057	2	3.200000
582	imitat	1.538057	2	3.200000
583	ordinary	1.537269	6	4.420000
584	absurdity	1.532564	2	3.210000
585	clutter	1.532564	2	3.210000
586	schoolboy	1.532564	2	3.210000
587	wish	1.532445	41	5.180000
588	floor	1.531897	17	4.940000
589	imaginary	1.531855	3	3.790000
590	stain	1.531855	3	3.790000
591	seem	1.529634	55	5.240000
592	pour	1.528966	4	4.100000
593	prove	1.528218	11	4.770000
594	ear	1.527539	6	4.430000
595	accomplice	1.527071	2	3.220000
596	annihilation	1.527071	2	3.220000
597	lear	1.527071	2	3.220000
598	destroy	1.527071	8	4.610000
599	familiar	1.527071	8	4.610000
600	unpleasant	1.524924	3	3.800000
601	word	1.521023	60	5.260000
602	happily	1.520919	4	4.110000
603	assurance	1.517992	3	3.810000
604	doom	1.517992	3	3.810000
605	lose	1.516085	26	5.080000
606	seduce	1.516085	2	3.240000
607	praise	1.514037	5	4.310000
608	drift	1.511061	3	3.820000
609	timid	1.510592	2	3.250000
610	anxiety	1.508080	6	4.450000
611	innocent	1.508080	6	4.450000
612	slowly	1.505099	8	4.630000
613	knack	1.505099	2	3.260000
614	blast	1.505078	5	4.320000
615	consciousness	1.504824	4	4.130000
616	guilt	1.504824	4	4.130000
617	miracle	1.504824	4	4.130000
618	innocence	1.504129	3	3.830000
619	sickness	1.504129	3	3.830000
620	dead	1.503997	40	5.190000
621	break	1.502060	38	5.180000
622	bar	1.501603	16	4.940000
623	reach	1.501603	16	4.940000
624	poor	1.499606	26	5.090000
625	evoke	1.499606	2	3.270000
626	surprise	1.498685	10	4.750000
627	bound	1.498351	6	4.460000
628	nearly	1.497866	19	5.000000
629	awake	1.496777	4	4.140000
630	lean	1.496777	4	4.140000
631	succeed	1.496777	4	4.140000
632	expense	1.496119	5	4.330000
633	trap	1.496119	5	4.330000
634	grotesque	1.494113	2	3.280000
635	shabby	1.494113	2	3.280000
636	stand	1.490266	31	5.140000
637	lang	1.490266	3	3.850000
638	utter	1.490266	3	3.850000
639	glad	1.489428	14	4.900000
640	mark	1.489360	22	5.050000
641	bitterly	1.488620	2	3.290000
642	excite	1.488620	2	3.290000
643	everybody	1.487671	12	4.840000
644	lane	1.486801	7	4.570000
645	prefer	1.486801	7	4.570000
646	dentist	1.483335	3	3.860000
647	mistress	1.483335	3	3.860000
648	thrust	1.483335	3	3.860000
649	reassure	1.483127	2	3.300000
650	commit	1.483127	8	4.650000
651	father	1.482713	54	5.260000
652	alone	1.481071	33	5.160000
653	meal	1.478892	6	4.480000
654	trick	1.478892	6	4.480000
655	sick	1.477872	13	4.880000
656	admit	1.476403	7	4.580000
657	guest	1.476403	7	4.580000
658	neighbour	1.476403	3	3.870000
659	slid	1.476403	3	3.870000
660	swallow	1.476403	3	3.870000
661	address	1.475887	14	4.910000
662	journal	1.474706	10	4.770000
663	substitute	1.472636	4	4.170000
664	quickly	1.472219	18	5.000000
665	myself	1.470625	70	5.310000
666	spoon	1.469472	3	3.880000
667	pass	1.468245	21	5.050000
668	cold	1.467909	19	5.020000
669	spade	1.466647	2	3.330000
670	push	1.466095	11	4.820000
671	leave	1.466075	84	5.340000
672	basement	1.464589	4	4.180000
673	shut	1.462716	10	4.780000
674	dislike	1.462541	3	3.890000
675	umbrella	1.462541	3	3.890000
676	presence	1.462142	9	4.730000
677	mine	1.461371	20	5.040000
678	hardwood	1.461154	2	3.340000
679	emotion	1.460284	5	4.370000
680	tongue	1.460284	5	4.370000
681	scene	1.459105	16	4.970000
682	fiercely	1.455661	2	3.350000
683	bomb	1.455609	7	4.600000
684	happen	1.455034	37	5.200000
685	mouth	1.453670	11	4.830000
686	doubt	1.451482	13	4.900000
687	discover	1.450629	9	4.740000
688	gourmet	1.450168	2	3.360000
689	catalogue	1.448678	3	3.910000
690	terribly	1.448678	3	3.910000
691	toss	1.448678	3	3.910000
692	truth	1.446148	20	5.050000
693	ambiguity	1.444675	2	3.370000
694	bazaar	1.444675	2	3.370000
695	hair	1.442327	22	5.080000
696	interpret	1.441746	3	3.920000
697	convert	1.440447	4	4.210000
698	writer	1.439182	8	4.690000
699	window	1.438737	10	4.800000
700	grievance	1.433689	2	3.390000
701	liv	1.433689	2	3.390000
702	sheet	1.433408	5	4.400000
703	sudden	1.433408	5	4.400000
704	leaf	1.432400	4	4.220000
705	suffer	1.430244	6	4.530000
706	royal	1.428821	11	4.850000
707	fender	1.428196	2	3.400000
708	illusion	1.427883	3	3.940000
709	answer	1.425105	30	5.170000
710	turn	1.424483	65	5.320000
711	crack	1.424449	5	4.410000
712	dust	1.424449	5	4.410000
713	lately	1.424449	5	4.410000
714	palm	1.424353	4	4.230000
715	pub	1.424353	4	4.230000
716	coarse	1.422703	2	3.410000
717	pew	1.422703	2	3.410000
718	weep	1.422703	2	3.410000
719	lady	1.421726	14	4.950000
720	sorry	1.420952	31	5.180000
721	hide	1.420514	6	4.540000
722	fall	1.417272	25	5.130000
723	terrible	1.417210	8	4.710000
724	chiefly	1.417210	2	3.420000
725	cowardly	1.417210	2	3.420000
726	irritation	1.417210	2	3.420000
727	escape	1.414020	7	4.640000
728	stir	1.414020	3	3.960000
729	dark	1.413331	18	5.040000
730	civil	1.411896	13	4.930000
731	bruise	1.411717	2	3.430000
732	linger	1.411717	2	3.430000
733	inquiry	1.408258	4	4.250000
734	lonely	1.408258	4	4.250000
735	mercy	1.408258	4	4.250000
736	caution	1.407089	3	3.970000
737	curiosity	1.407089	3	3.970000
738	canary	1.406224	2	3.440000
739	invariably	1.406224	2	3.440000
740	sense	1.403623	31	5.190000
741	describe	1.401055	6	4.560000
742	excuse	1.401055	6	4.560000
743	contradiction	1.400731	2	3.450000
744	convince	1.400211	4	4.260000
745	pond	1.400157	3	3.980000
746	church	1.399526	27	5.160000
747	brain	1.398700	13	4.940000
748	horrible	1.397572	5	4.440000
749	legend	1.397572	5	4.440000
750	flashlight	1.395238	2	3.460000
751	tram	1.395238	2	3.460000
752	taste	1.395238	8	4.730000
753	paper	1.393016	19	5.070000
754	painfully	1.389745	2	3.470000
755	respectfully	1.389745	2	3.470000
756	charity	1.388614	5	4.450000
757	.16	1.386294	3	
758	16	1.386294	3	
759	18	1.386294	3	
760	anonymous	1.386294	3	
761	bartok	1.386294	3	
762	beautify	1.386294	3	
763	bigwell	1.386294	3	
764	blinker	1.386294	3	
765	catholics	1.386294	3	
766	charing	1.386294	3	
767	coughing	1.386294	3	
768	delirious	1.386294	3	
769	drearily	1.386294	3	
770	frightene	1.386294	3	
771	generous	1.386294	3	
772	golliwog	1.386294	3	
773	hurrie	1.386294	3	
774	indeed	1.386294	3	
775	kny	1.386294	3	
776	maugham	1.386294	3	
777	nervous	1.386294	3	
778	o’clock	1.386294	3	
779	pensions	1.386294	3	
780	pleased	1.386294	3	
781	proceedings	1.386294	3	
782	ridiculous	1.386294	3	
783	scrawl	1.386294	3	
784	shopping	1.386294	3	
785	sleeping	1.386294	3	
786	stained	1.386294	3	
787	unexpected	1.386294	3	
788	unused	1.386294	3	
789	willing	1.386294	3	
790	eighteenth	1.384251	2	3.480000
791	normandy	1.384251	2	3.480000
792	postpone	1.384251	2	3.480000
793	shutter	1.384251	2	3.480000
794	sparrow	1.384251	2	3.480000
795	lovely	1.384251	8	4.740000
796	listen	1.383886	18	5.060000
797	trust	1.382453	23	5.130000
798	silence	1.379655	5	4.460000
